Code,Map Unit,Name,Age,Region,PageSource,Description,Generalized 
382,Tcpp,Porphyritic granodiorite phase of Coast plutonic complex of Brew and Morrell (1979b),"Tertiary, Eocene",SE,92,,INTRUSIVE ROCKS
383,Tehi,"Felsic dikes, sills, and small stocks in southern Alaska",Tertiary and older?,SC,93,"Tephi—Felsic hypabyssal intrusions; Tehi—Felsic dikes, sills, and small stocks in southern Alaska",INTRUSIVE ROCKS
384,Tephi,Felsic hypabyssal intrusions,"Tertiary, Eocene",SC,93,,INTRUSIVE ROCKS
385,Tehi,"Felsic dikes, sills, and small stocks in southern Alaska",Tertiary and older?,SC,93,,INTRUSIVE ROCKS
386,Tgb,Gabbroic rocks in southern Alaska,Tertiary,SE;AL;AP;SC;SW,89-90,"Tgbe—Younger gabbro of southeast Alaska; Tgba—Diabase and gabbro, Aleutian Islands; Tgbw—Gabbro, southwest Alaska",INTRUSIVE ROCKS
387,Tgbe,Younger gabbro of southeast Alaska,"Tertiary, Miocene to Eocene",SE,89,,INTRUSIVE ROCKS
388,Tgba,"Diabase and gabbro, Aleutian Islands","Tertiary, Miocene to Paleocene?","AL, AP",90,,INTRUSIVE ROCKS
389,Tgbw,"Gabbro, southwest Alaska","Tertiary, Paleogene?","SC, SW",90,,INTRUSIVE ROCKS
390,Thi,Hypabyssal intrusions,Tertiary,"AL, AP, CN, SO",79,,VOLCANIC ROCKS
391,Tk,Kootznahoo Formation,"Tertiary, lower Miocene to upper Eocene",SE,10,,SEDIMENTARY ROCKS
392,TKcf,Canning Formation,"Lower Tertiary, Oligocene? to Cretaceous, Albian",NE,15,,SEDIMENTARY ROCKS
393,TKgi,Granitic rocks of southern and interior Alaska,"Tertiary, Paleocene to Cretaceous, Maastrichtian",SC;SO;SW;EC,94-95,Tpgr—Undivided granitic rocks; Tpg—Peralkaline granite; TKg—Felsic granitic rocks; TKgd—Granodiorite to quartz monzodiorite,INTRUSIVE ROCKS
394,Tpgr,Undivided granitic rocks,"Tertiary, late Paleocene","SC, SO, SW",94,,INTRUSIVE ROCKS
395,Tpg,Peralkaline granite,"Tertiary, Paleocene?",SW,94,,INTRUSIVE ROCKS
396,TKg,Felsic granitic rocks,"Tertiary, Paleocene, or Late Cretaceous, Maastrichtian","EC, SC, SO, SW",94,,INTRUSIVE ROCKS
397,TKgd,Granodiorite to quartz monzodiorite,"Tertiary, Paleocene, or Late Cretaceous, Maastrichtian","EC, SC, SW",95,,INTRUSIVE ROCKS
398,TKgr,Ghost Rocks Formation and similar rocks,"Tertiary, Paleocene, and Upper Cretaceous",AP;SW,132;16;19,TKm—Ghost Rocks Formation; TKgrs—Ghost Rocks sedimentary rocks; Kcv—Chert and volcanic sequence,TECTONIC ASSEMBLAGES AND MÉLANGE; SEDIMENTARY ROCKS
399,TKm,Ghost Rocks Formation,Early Tertiary and latest Cretaceous,AP,132,,TECTONIC ASSEMBLAGES AND MÉLANGE
400,TKgrs,Ghost Rocks sedimentary rocks,"Tertiary, Paleocene, and Upper Cretaceous",SW,16,,SEDIMENTARY ROCKS
401,Kcv,Chert and volcanic sequence,Upper Cretaceous,AP,19,,SEDIMENTARY ROCKS
402,TKkf,"Krugoli Formation, undifferentiated","Tertiary, Paleogene, or Cretaceous",AL,13,,SEDIMENTARY ROCKS
403,TKm,Mafic intrusive rocks,Tertiary to Late Cretaceous or older,SC;WC;SW,95,TKgb—Gabbroic rocks; TKpd—Peridotite,INTRUSIVE ROCKS
404,TKgb,Gabbroic rocks,Tertiary to Late Cretaceous or older,"SC, SW, WC",95,,INTRUSIVE ROCKS
405,TKpd,Peridotite,"Tertiary, Paleocene, or older",SW,95,,INTRUSIVE ROCKS
406,TKnt,Nearshore and nonmarine sedimentary rocks in southern Alaska,Tertiary,AP;SC;SO;SW,6;10-11,"Tkn—Kenai Group, undivided; Tts—Tsadaka Formation; Ttk—Nearshore and nonmarine sedimentary rocks",SEDIMENTARY ROCKS
407,Tkn,"Kenai Group, undivided","Tertiary, Miocene to Oligocene","AP, SC",6,,SEDIMENTARY ROCKS
408,Tts,Tsadaka Formation,"Tertiary, Oligocene",SC,10,,SEDIMENTARY ROCKS
409,Ttk,Nearshore and nonmarine sedimentary rocks,"Tertiary, Eocene to Paleocene","AP, SC, SO, SW",11,,SEDIMENTARY ROCKS
410,TKpc,Prince Creek Formation,"Lower Tertiary, Paleocene, to Upper Cretaceous, Campanian",NR,15,,SEDIMENTARY ROCKS
411,TKpr,Flows and pyroclastic rocks,Early Tertiary to Late Cretaceous,NE;NW;SC;SW;WC;EC;SE;SW,80-82,TKv—Volcanic rocks in southern Alaska; Tpt—Pyroclastic rocks; TKwt—Welded tuff and other felsic volcanic rocks,VOLCANIC ROCKS
412,TKv,Volcanic rocks in southern Alaska,Early Tertiary to Late Cretaceous,"NE, NW,
SC, SW, WC",80,,VOLCANIC ROCKS
413,Tpt,Pyroclastic rocks,"Tertiary, early Eocene or Paleocene","EC, SE, SW, WC",81,,VOLCANIC ROCKS
414,TKwt,Welded tuff and other felsic volcanic rocks,Early Tertiary and early Late Cretaceous,EC,82,,VOLCANIC ROCKS
415,TKs,"Conglomerate, sandstone, and lignite",Lower Tertiary to Upper Cretaceous,"CN, EC, SP",13,,SEDIMENTARY ROCKS
416,TKtsp,"Foliated tonalite sill and pegmatite, Coast plutonic complex of Brew and Morrell (1979b)","Tertiary, Eocene? to latest Cretaceous",SE,92;94,TKts—Foliated tonalite sill of Coast plutonic complex of Brew and Morrell (1979b); TKpeg—Trondhjemitic pegmatite,INTRUSIVE ROCKS
417,TKts,Foliated tonalite sill of Coast plutonic complex of Brew and Morrell (1979b),"Tertiary, Paleocene, and latest Cretaceous",SE,92,,INTRUSIVE ROCKS
418,Tkpeg,Trondhjemitic pegmatite,"Tertiary, Eocene? or older",SE,94,,INTRUSIVE ROCKS
419,Tmi,Younger granitic rocks,"Tertiary, Pliocene to Miocene","AL, AP, SE",89,,INTRUSIVE ROCKS
420,T}mb,MacLaren metamorphic belt of Smith and Lanphere (1971),Tertiary to Jurassic or older?,SC,109;110,TKgg—Gneissose granitic rocks; }mu—Metamorphic rocks of the MacLaren metamorphic belt of Smith and Lanphere (1971),METAMORPHIC ROCKS
421,TKgg,Gneissose granitic rocks,Tertiary or Late Cretaceous,SC,109,,METAMORPHIC ROCKS
422,}mu,Metamorphic rocks of the MacLaren metamorphic belt of Smith and Lanphere (1971),Cretaceous and Jurassic or older?,SC,110,,METAMORPHIC ROCKS
423,T}u,"Basement rocks, undifferentiated, Aleutian Islands",Tertiary or older,AL,14,,SEDIMENTARY ROCKS
424,Tng,Nenana Gravel,"Tertiary, Pliocene and upper Miocene",SC,6,,SEDIMENTARY ROCKS
425,Toeg,Granitic rocks in southern Alaska,"Tertiary, Oligocene and Eocene",AL;AP;SW;SC;SE,90-91,"Tgw—Granite, southwest Alaska and Aleutian Islands; Togr—Granite and granodiorite; Tod—Granodiorite, quartz diorite, and diorite; Toegr—Granitic rocks",INTRUSIVE ROCKS
426,Tgw,"Granite, southwest Alaska and Aleutian Islands","Tertiary, Oligocene, or older","AL, AP, SW",90,,INTRUSIVE ROCKS
427,Togr,Granite and granodiorite,"Tertiary, Oligocene","SC, SE, SW",90,,INTRUSIVE ROCKS
428,Tod,"Granodiorite, quartz diorite, and diorite","Tertiary, Oligocene and late Eocene","AP, SC, SE",91,,INTRUSIVE ROCKS
429,Toegr,Granitic rocks,"Tertiary, early Oligocene and Eocene","SC, SE, SW",91,,INTRUSIVE ROCKS
430,Togum,Mafic and ultramafic rocks of the Valdez and Orca Groups,"Tertiary, Eocene to Paleocene",SC,92,,INTRUSIVE ROCKS
431,Togv,Volcanic rocks of the Orca Group and Ghost Rocks Formation,"Tertiary, Eocene to Paleocene","AP, SC",80,,VOLCANIC ROCKS
432,Top,Redwood and Poul Creek Formations,"Tertiary, Miocene to Eocene?",SC,7,,SEDIMENTARY ROCKS
433,Tovs,"Sedimentary and volcanic rocks of the Orca Group, undivided","Tertiary, Eocene to Paleocene",SC,14,Tos—Sedimentary rocks of the Orca Group,SEDIMENTARY ROCKS
434,Tos,Sedimentary rocks of the Orca Group,"Tertiary, Eocene to Paleocene",SC,14,,SEDIMENTARY ROCKS
435,Tpgi,Granitic intrusive rocks of the Chugach accretionary complex,"Tertiary, Paleocene","SC, SW",93,,INTRUSIVE ROCKS
436,T|i,Undivided dikes and sills,Tertiary to Paleozoic?,SW;WC;SC,95-96,"TKhi—Dikes and subvolcanic rocks; }|i—Undivided dikes and sills, south-central Alaska",INTRUSIVE ROCKS
437,Tkhi,Dikes and subvolcanic rocks,Tertiary and (or) Cretaceous,"SW, WC",95,,INTRUSIVE ROCKS
438,}|i,"Undivided dikes and sills, south-central Alaska",Mesozoic or Paleozoic,SC,96,,INTRUSIVE ROCKS
439,Tsf,Sagavanirktok Formation,"Tertiary, Miocene to Paleocene",NR,7,,SEDIMENTARY ROCKS
440,Tski,Sitkinak and Sitkalidak Formations,"Tertiary, Oligocene to Eocene",SW,12,Tsk—Sitkinak Formation; Tsi—Sitkalidak Formation,SEDIMENTARY ROCKS
441,Tsk,Sitkinak Formation,"Tertiary, Oligocene",SW,12,,SEDIMENTARY ROCKS
442,Tsi,Sitkalidak Formation,"Tertiary, Oligocene to Eocene",SW,12,,SEDIMENTARY ROCKS
443,Tsmo,Sedimentary rocks of southwest Alaska,"Tertiary, Miocene and Oligocene",AL;AP;SC,8-10,"Tms—Tachilni, Bear Lake, Chuniksak,  Nevidiskov, and Chirikof Formations; Tnc—Narrow Cape and Topsy Formations; Tuu—Unga, Belkofski, and Unalaska Formations; Tsti—Siltstone of Trinity Islands",SEDIMENTARY ROCKS
444,Tms,"Tachilni, Bear Lake, Chuniksak,  Nevidiskov, and Chirikof Formations","Tertiary, Miocene and upper Oligocene","AL, AP",8,,SEDIMENTARY ROCKS
445,Tnc,Narrow Cape and Topsy Formations,"Tertiary, Miocene","AP, SC",9,,SEDIMENTARY ROCKS
446,Tuu,"Unga, Belkofski, and Unalaska Formations","Tertiary, Miocene","AL, AP",9,,SEDIMENTARY ROCKS
447,Tsti,Siltstone of Trinity Islands,"Tertiary, Miocene and Oligocene",AP,10,,SEDIMENTARY ROCKS
448,Tsu,"Sedimentary rocks, undivided",Tertiary,ST,6,,SEDIMENTARY ROCKS
449,Ttsr,Sedimentary rocks of eastern Prince William Sound,"Tertiary, Eocene",SC;SE,12-13,Tes—Tokun and Stillwater Formations and similar rocks; Tkf—Kulthieth Formation,SEDIMENTARY ROCKS
450,Tes,Tokun and Stillwater Formations and similar rocks,"Tertiary, Eocene",SC,12,,SEDIMENTARY ROCKS
451,Tkf,Kulthieth Formation,"Tertiary, Eocene","SC, SE",13,,SEDIMENTARY ROCKS
452,Tv,"Volcanic rocks, undivided",Tertiary,AL;AP;CN;EC;SC;SW;NW,76-77;80;82,"Tvu—Volcanic rocks of southern Alaska; Twv—Wrangell Lava; Tepv—Andesite and basalt flows; Tpcv—Cantwell Formation, volcanic rocks subunit; Tsr—Soda rhyolite and basalt",VOLCANIC ROCKS
453,Tvu,Volcanic rocks of southern Alaska,"Tertiary, Pliocene? and older","AL, AP,
CN, EC, SC, SW",76,,VOLCANIC ROCKS
454,Twv,Wrangell Lava,"Tertiary, Pliocene to Oligocene","EC, SC",77,,VOLCANIC ROCKS
455,Tepv,Andesite and basalt flows,"Tertiary, Eocene and Paleocene","SC, WC",80,,VOLCANIC ROCKS
456,Tpcv,"Cantwell Formation, volcanic rocks subunit","Tertiary, Paleocene",SC,82,,VOLCANIC ROCKS
457,Tsr,Soda rhyolite and basalt,"Tertiary, Paleocene",NW,82,,VOLCANIC ROCKS
458,Tvc,Victoria Creek metamorphic rocks,"Tertiary, Paleocene metamorphism",CN,110,,METAMORPHIC ROCKS
459,Tvcs,Volcanic and sedimentary rocks,"Tertiary, Oligocene and Eocene",AL;AP;SC,10-11,"Tarcs—Volcaniclastic sedimentary rocks; Tvs—Volcanic and sedimentary rocks, undivided",SEDIMENTARY ROCKS
460,Tarcs,Volcaniclastic sedimentary rocks,"Tertiary, Oligocene to Eocene","AL, AP",10,,SEDIMENTARY ROCKS
461,Tvs,"Volcanic and sedimentary rocks, undivided","Tertiary, Oligocene and Eocene",SC,11,,SEDIMENTARY ROCKS
462,Tvme,"Older volcanic rocks, undivided","Tertiary, early Miocene to Eocene",SE;AL;AP;SC;SW,78-79,Tca—Admiralty Island and Cenotaph Volcanics; Tmv—Meshik Volcanics and similar rock units; Tev—Felsic volcanic rocks of southwest Alaska,VOLCANIC ROCKS
463,Tca,Admiralty Island and Cenotaph Volcanics,"Tertiary, Miocene to Oligocene",SE,78,,VOLCANIC ROCKS
464,Tmv,Meshik Volcanics and similar rock units,"Tertiary, Oligocene to Eocene","AL, AP, SC, WC",78,,VOLCANIC ROCKS
465,Tev,Felsic volcanic rocks of southwest Alaska,"Tertiary, Oligocene? and Eocene",SW,79,,VOLCANIC ROCKS
466,Tvpm,"Younger volcanic rocks, undivided","Tertiary, Pliocene and Miocene",SW;AL;AP;EC,77-78,Tpv—Basalt and tuff; Tvm—Volcanic rocks of the Aleutian Islands and Alaska Peninsula; Tob—Olivine basalt flows,VOLCANIC ROCKS
467,Tpv,Basalt and tuff,"Tertiary, Pliocene",SW,77,,VOLCANIC ROCKS
468,Tvm,Volcanic rocks of the Aleutian Islands and Alaska Peninsula,"Tertiary, Miocene","AL, AP, SW",77,,VOLCANIC ROCKS
469,Tob,Olivine basalt flows,"Tertiary, Miocene",EC,78,,VOLCANIC ROCKS
470,^cs,Calcareous sedimentary rocks,"Upper Triassic, middle? Norian and upper Carnian",SC,44,,SEDIMENTARY ROCKS
471,^Dtz,Sedimentary rocks and chert (Angayucham),Triassic to Devonian,EC;NE;NR;SW;WC,32,^Dtz—Sedimentary rocks; *Mch—Chert,SEDIMENTARY ROCKS
472,^Dtz,Sedimentary rocks,Triassic to Devonian,"EC, NE,
NR, SW, WC",32,,SEDIMENTARY ROCKS
473,*Mch,Chert,Carboniferous and older,WC,32,,SEDIMENTARY ROCKS
474,^gs,Shublik Formation and lower Glenn Shale,Triassic,NR;EC,34;42,"^gs—Shublik Formation; ^gsl—Glenn Shale, lower unit",SEDIMENTARY ROCKS
475,^gs,Shublik Formation,Triassic,NR,34,,SEDIMENTARY ROCKS
476,^gsl,"Glenn Shale, lower unit",Triassic,EC,42,,SEDIMENTARY ROCKS
477,^hg,"Hyd Group, undivided",Upper and Middle Triassic,SE,43,"^hgs—Hyd Group sedimentary rocks, undivided; ^hgv—Hyd Group igneous rocks, undivided",SEDIMENTARY ROCKS
478,^hgs,"Hyd Group sedimentary rocks, undivided",Upper Triassic,SE,43,,SEDIMENTARY ROCKS
479,^hgv,"Hyd Group igneous rocks, undivided",Upper Triassic,SE,44,,SEDIMENTARY ROCKS
480,^mb,Massive basalt and greenstone,Triassic,SE;SC;AP;SW,85-86,^vs—Volcanic and sedimentary rocks of Nakwasina Sound; ^b—Mafic volcanic rocks of Chilkat Peninsula; ^n—Nikolai and Goon Dip Greenstones and equivalent rocks; ^cb—Cottonwood Bay and Chilikradrotna Greenstones; ^vsw—Older volcanic rocks of southwest Alaska,VOLCANIC ROCKS
481,^vs,Volcanic and sedimentary rocks of Nakwasina Sound,Triassic,SE,85,,VOLCANIC ROCKS
482,^b,Mafic volcanic rocks of Chilkat Peninsula,Late Triassic,SE,85,,VOLCANIC ROCKS
483,^n,Nikolai and Goon Dip Greenstones and equivalent rocks,Late and Middle Triassic,"SC, SE",86,,VOLCANIC ROCKS
484,^cb,Cottonwood Bay and Chilikradrotna Greenstones,"Late Triassic, Norian?","AP, SW",86,,VOLCANIC ROCKS
485,^vsw,Older volcanic rocks of southwest Alaska,Triassic,SW,86,,VOLCANIC ROCKS
486,^mls,Marble and limestone of Wrangellia,Triassic,SW;AP;SC;SE,45,^ls—Carbonates and associated rocks; ^cnk—Chitistone and Nizina Limestones and Kamishak Formation; ^wm—Whitestripe Marble of southeast Alaska,SEDIMENTARY ROCKS
487,^ls,Carbonates and associated rocks,Triassic,SW,45,,SEDIMENTARY ROCKS
488,^cnk,Chitistone and Nizina Limestones and Kamishak Formation,"Upper Triassic, Norian to Carnian","AP, SC, SW",45,,SEDIMENTARY ROCKS
489,^wm,Whitestripe Marble of southeast Alaska,Triassic?,SE,45,,SEDIMENTARY ROCKS
490,^Msm,Seventymile assemblage (Yukon-Tanana crystalline complex),Triassic to Mississippian,EC,115,,METAMORPHIC ROCKS
491,^Psg,"Sadlerochit Group, undivided",Lower Triassic to Permian,NE,46,^if—Ivishak Formation; Pe—Echooka Formation,SEDIMENTARY ROCKS
492,^if,Ivishak Formation,Lower Triassic,NE,46,,SEDIMENTARY ROCKS
493,Pe,Echooka Formation,Permian,NE,46,,SEDIMENTARY ROCKS
494,^Pvs,"Metamorphic rocks, southeast Alaska",Triassic to Permian,SE,114,,METAMORPHIC ROCKS
495,^*ms,"Skolai and Mankomen Groups, undivided",Triassic to Pennsylvanian,SC,48-49;118,"P*ms—Mankomen and Skolai Groups, undivided; Peh—Eagle Creek and Hasen Creek Formations; Pehls—Limestone of the Hasen Creek and Eagle Creek Formations; P*t—Slana Spur and Station Creek Formations and Tetelna Volcanics; ^ms—Metavolcanic and metasedimentary rocks",SEDIMENTARY ROCKS; METAMORPHIC ROCKS
496,P*ms,"Mankomen and Skolai Groups, undivided",Lower Permian and Pennsylvanian,SC,48,,SEDIMENTARY ROCKS
497,Peh,Eagle Creek and Hasen Creek Formations,Lower Permian,SC,48,,SEDIMENTARY ROCKS
498,Pehls,Limestone of the Hasen Creek and Eagle Creek Formations,Lower Permian,SC,49,,SEDIMENTARY ROCKS
499,P*t,Slana Spur and Station Creek Formations and Tetelna Volcanics,Lower Permian to Middle Pennsylvanian,SC,49,,SEDIMENTARY ROCKS
500,^ms,Metavolcanic and metasedimentary rocks,Late Triassic,SC,118,,METAMORPHIC ROCKS
501,^*sf,Flysch-like sedimentary rocks,Triassic to Pennsylvanian,SC,42,,SEDIMENTARY ROCKS
502,^|bi,Metamorphic rocks of Baranof Island,Triassic or older,SE,118,,METAMORPHIC ROCKS
503,^|gp,Metagraywacke and phyllite,Triassic? and late Paleozoic,"CN, NR, WC",119,,METAMORPHIC ROCKS
504,^qd,Quartz diorite and granodiorite,Triassic,"EC, SE, SW",104,,INTRUSIVE ROCKS
505,^sf,"Shuyak Formation, undivided",Upper Triassic,AP,42,^sy—Sedimentary member; ^syv—Volcanic member,SEDIMENTARY ROCKS
506,^sy,Sedimentary member,Upper Triassic,AP,42,,SEDIMENTARY ROCKS
507,^syv,Volcanic member,Upper Triassic,AP,42,,SEDIMENTARY ROCKS
508,Xio,Kanektok metamorphic complex and Idono Complex,Paleoproterozoic,SW,131,=km—Kanektok marble,METAMORPHIC ROCKS
509,=km—,Kanektok marble,Precambrian,SW,132,,METAMORPHIC ROCKS
510,Zam,Metasedimentary and metavolcanic rocks of Mount Angayukaqsraq,Neoproterozoic,NW,130,,METAMORPHIC ROCKS
511,Zgn,Gneiss of northern Alaska,Neoproterozoic,NR;SP,130,Zgn—Granite and orthogneiss; Zgns—Orthogneiss of the Seward Peninsula,METAMORPHIC ROCKS
512,Zgn,Granite and orthogneiss,Neoproterozoic?,NR,130,,METAMORPHIC ROCKS
513,Zgns,Orthogneiss of the Seward Peninsula,Neoproterozoic,SP,130,,METAMORPHIC ROCKS
